Month,usg_apt,fg_apt,carrier,Total
1,ABI,MTY,MQ,76
1,ACY,YYZ,SY,171
1,AEX,BOG,09Q,542
1,AEX,GUA,09Q,884
1,AEX,GYE,09Q,17
1,AEX,KIN,09Q,61
1,AEX,LIM,09Q,32
1,AEX,MGA,09Q,298
1,AEX,SAL,09Q,483
1,AEX,SAP,09Q,1041
1,AFW,NKC,X9,184
1,AFW,OTP,X9,137
1,AFW,TIA,X9,49
1,AGS,BDA,DL,38
1,AGS,PUJ,DL,195
1,ALB,YQB,04Q,8
1,ALB,YYZ,UA,151
1,ANC,ACH,VJT,6
1,ANC,HKG,VJT,1
1,ANC,ICN,DL,264
1,ANC,PEK,VJT,3
1,ANC,USM,VJT,8
1,ANC,XSP,VJT,8
1,ANC,YXY,7H,40
1,APA,YYZ,HAQ,1
1,APF,YHM,HAQ,5
1,ATL,ADD,ET,5064
1,ATL,AMS,KL,29797
1,ATL,AMS,DL,34323
1,ATL,ANU,DL,1090
1,ATL,AUA,DL,16099
1,ATL,BCN,DL,7326
1,ATL,BDA,DL,1852
1,ATL,BOG,DL,22692
1,ATL,BON,DL,4289
1,ATL,BZE,DL,10442
1,ATL,CDG,AF,30638
1,ATL,CDG,DL,32132
1,ATL,CUN,WN,685
1,ATL,CUN,DL,62867
1,ATL,CUN,F9,10476
1,ATL,CPT,DL,10217
1,ATL,CTG,DL,3557
1,ATL,CUR,DL,1269
1,ATL,CZM,DL,7239
1,ATL,DOH,QR,20220
1,ATL,ELH,9E,2804
1,ATL,EZE,DL,13384
1,ATL,FCO,DL,13307
1,ATL,FRA,LH,9904
1,ATL,FRA,DL,10930
1,ATL,GBE,DL,298
1,ATL,GCM,DL,10869
1,ATL,GDL,DL,9779
1,ATL,GDL,5D,2527
1,ATL,GGT,9E,2962
1,ATL,GIG,DL,12105
1,ATL,GRU,DL,32613
1,ATL,GUA,DL,12371
1,ATL,GUA,F9,2366
1,ATL,HND,DL,12425
1,ATL,ICN,KE,20464
1,ATL,ICN,DL,16090
1,ATL,IST,TK,16712
1,ATL,JNB,DL,9522
1,ATL,KIN,DL,8282
1,ATL,LHR,BA,9643
1,ATL,LHR,VS,12328
1,ATL,LHR,DL,21077
1,ATL,LIM,DL,19525
1,ATL,LIM,LP,5293
1,ATL,LIR,DL,20410
1,ATL,LIR,F9,600
1,ATL,LOS,DL,13547
1,ATL,MAD,DL,2975
1,ATL,MAN,VS,7092
1,ATL,MBJ,DL,33717
1,ATL,MBJ,F9,4633
1,ATL,MEX,DL,43165
1,ATL,MHH,9E,2467
1,ATL,MTY,DL,7285
1,ATL,MTY,5D,2523
1,ATL,MUC,DL,7603
1,ATL,MXP,DL,2044
1,ATL,NAS,DL,27361
1,ATL,NAS,9E,65
1,ATL,PLS,DL,11758
1,ATL,PLS,24Q,2
1,ATL,PTY,CM,3627
1,ATL,PTY,DL,12998
1,ATL,PUJ,DL,33695
1,ATL,PUJ,F9,1270
1,ATL,PVR,DL,15186
1,ATL,RTB,DL,3669
1,ATL,SAL,DL,11156
1,ATL,SAL,F9,2498
1,ATL,SAP,DL,8715
1,ATL,SCL,DL,18629
1,ATL,SDQ,DL,9996
1,ATL,SDQ,F9,1764
1,ATL,SJD,DL,14766
1,ATL,SJO,DL,23049
1,ATL,SJO,F9,3713
1,ATL,SKB,DL,1037
1,ATL,SXM,DL,10813
1,ATL,UIO,DL,10775
1,ATL,UVF,DL,10333
1,ATL,YUL,DL,17113
1,ATL,YUL,QK,2296
1,ATL,YVR,WS,5395
1,ATL,YWG,WS,5922
1,ATL,YYC,WS,10567
1,ATL,YYZ,AC,1838
1,ATL,YYZ,DL,20284
1,ATL,YYZ,QK,7830
